Year,Alabama ,Alsaka,Arizona,Arkansas,California ,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana ,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina ,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgnia ,Washington,West Vriginia ,Wisconsin ,Wyoming 
1980,60.8,78.9,56.3,69.3,36.6,54.0,25.6,34.5,43.7,60.9,26.6,65.9,31.2,54.1,55.2,59.2,54.0,56.9,47.0,37.0,16.9,44.4,52.7,59.0,56.9,78.2,54.5,56.1,40.8,20.1,55.3,20.1,57.9,53.0,45.8,60.9,57.7,43.7,11.3,57.5,59.2,57.3,58.0,53.0,52.1,55.8,48.9,63.2,48.3,77.5
1981,59.7,70.9,59.8,63.9,42.1,52.5,29.8,39.6,46.7,61.7,24.1,67.5,30.7,48.4,52.4,54.5,59.2,62.0,49.3,45.2,21.7,41.0,40.9,60.5,50.1,69.5,50.7,59.2,45.5,22.5,53.0,22.8,54.7,56.7,44.4,58.0,60.4,45.7,15.2,54.4,58.5,57.7,58.6,49.6,48.3,52.2,52.9,61.2,42.3,80.0
1982,66.1,73.7,54.1,67.4,41.4,57.4,31.5,38.5,42.3,61.5,15.9,68.5,29.5,51.5,53.0,62.3,59.2,57.4,45.3,39.9,18.0,43.9,53.6,59.6,51.4,65.6,49.6,62.7,46.1,32.0,56.2,20.6,57.1,55.8,48.7,59.5,58.2,49.0,14.6,56.5,54.0,59.9,61.3,55.1,62.1,53.8,54.0,59.5,44.5,76.0
1983,58.6,72.2,55.4,63.0,38.0,49.0,30.0,29.4,46.8,59.6,19.5,67.0,30.5,49.0,43.7,57.0,57.1,60.3,45.4,36.3,15.6,42.5,46.3,62.6,48.4,75.9,53.9,61.7,43.7,20.0,52.4,21.4,55.2,53.0,42.1,57.5,54.1,41.7,15.7,54.6,62.4,57.7,58.6,53.5,46.6,48.7,49.8,55.3,43.0,73.3
1984,62.4,71.2,56.7,69.4,40.5,59.3,29.5,34.4,44.0,60.3,20.2,57.9,30.1,50.9,51.2,57.3,62.6,57.0,49.8,38.6,20.6,46.3,46.2,62.8,51.6,77.8,50.3,57.1,49.5,18.7,51.9,24.5,58.5,59.7,46.4,61.2,60.0,46.3,15.5,54.6,50.1,58.5,54.5,58.1,56.4,51.9,48.8,65.1,47.9,77.6
1985,64.4,65.3,53.8,65.6,35.4,51.7,25.4,33.1,41.8,57.8,21.7,66.6,33.4,49.4,54.6,54.9,61.0,59.6,48.4,37.4,19.5,40.8,52.8,61.3,51.2,71.7,51.7,51.0,42.2,17.3,54.8,24.1,55.4,62.7,40.8,59.9,59.0,42.4,12.9,58.8,58.0,60.7,50.6,56.5,51.9,50.8,49.5,62.6,47.1,74.3
1986,56.7,68.8,54.9,59.6,36.7,49.5,28.4,41.5,41.4,55.0,21.9,62.5,28.7,44.9,48.0,53.3,57.0,57.9,49.6,35.3,15.5,39.4,44.6,59.1,48.1,69.3,50.9,58.2,44.5,18.1,53.5,24.2,52.2,54.2,42.5,59.6,57.3,41.5,17.1,53.7,58.8,54.8,52.9,53.1,56.2,50.5,44.6,60.1,44.5,75.6
1987,60.9,71.8,56.4,65.7,37.6,52.8,30.0,40.0,42.6,61.0,23.0,64.9,30.9,50.7,47.0,57.8,58.1,60.3,48.2,38.3,19.1,47.0,44.2,61.7,52.3,73.7,50.4,55.7,42.3,22.8,54.7,27.1,57.3,59.6,47.2,64.9,56.7,42.1,18.3,53.8,56.8,58.2,51.6,57.0,56.9,49.3,47.2,60.4,46.9,73.7
1988,60.6,74.8,55.7,64.3,39.6,52.7,26.1,43.1,39.7,58.3,18.4,69.1,33.9,53.1,51.3,56.7,62.1,59.3,56.2,36.7,17.0,45.0,45.6,62.5,52.5,66.9,53.4,61.7,47.0,16.8,56.7,25.8,56.1,59.8,45.8,63.7,57.6,42.3,17.5,58.8,60.5,58.8,54.1,56.0,58.7,52.3,48.8,60.5,46.0,70.8
1989,62.7,71.1,62.4,63.6,41.7,54.0,31.8,48.3,46.1,59.4,23.3,66.3,37.0,50.5,51.5,56.9,59.5,58.0,54.9,39.6,20.3,49.4,46.4,61.7,55.0,66.5,54.6,62.0,46.7,21.4,55.5,30.5,56.3,56.5,47.9,64.3,60.4,44.0,23.6,61.8,60.4,58.4,55.5,56.6,61.5,53.7,51.1,56.6,49.6,76.6
1990,64.1,69.9,59.8,64.7,37.9,53.5,31.5,39.8,41.1,57.4,18.6,66.4,36.0,52.7,51.0,58.5,59.9,61.7,53.9,39.8,18.5,50.8,44.8,61.4,58.2,66.8,52.3,60.7,46.4,19.3,49.6,26.6,54.1,55.3,48.6,65.5,59.4,45.0,18.8,61.0,61.7,55.7,53.0,55.1,55.2,51.7,47.4,55.8,50.2,76.1
1991,63.2,71.6,56.4,63.9,36.8,51.9,32.2,38.5,45.9,57.4,21.1,66.9,33.6,53.3,50.0,57.7,59.5,64.9,55.5,37.2,20.7,49.0,46.3,62.4,53.6,67.3,52.6,59.7,47.0,21.0,55.2,26.9,56.5,51.8,47.2,60.4,56.3,43.7,21.6,58.2,59.6,57.6,51.4,52.4,60.0,54.9,45.6,56.0,48.5,71.3
1992,55.2,68.5,54.7,53.3,40.2,48.3,37.5,37.8,42.6,56.9,19.2,66.6,32.4,50.5,46.3,53.9,57.6,56.5,53.9,41.3,20.4,42.7,45.6,56.0,47.8,63.8,47.1,58.2,48.3,21.3,49.6,25.6,52.9,57.4,46.2,54.9,57.2,47.4,24.6,53.3,55.0,58.1,52.2,48.9,60.1,55.3,48.7,63.2,46.7,70.5
1993,60.0,71.2,53.0,64.4,38.6,48.0,30.9,39.7,42.9,56.6,18.8,67.6,30.8,51.7,46.2,52.8,61.1,58.2,50.4,35.3,21.1,44.3,44.2,60.5,49.2,70.0,46.5,55.7,47.6,17.6,49.6,26.2,57.3,59.4,44.3,60.5,55.4,47.2,19.2,52.7,62.1,59.0,56.3,49.6,59.4,46.6,49.2,63.6,51.6,69.8
1994,57.1,66.7,50.5,60.1,31.0,49.0,31.6,44.1,38.3,52.5,25.4,61.7,32.4,50.5,39.7,52.7,58.4,57.5,47.6,37.6,18.6,45.0,44.4,57.5,52.0,68.9,41.9,53.9,44.2,16.7,52.1,23.5,54.0,52.2,47.7,57.2,53.3,44.4,21.4,54.1,63.5,57.4,51.7,47.9,56.3,50.0,45.7,58.9,49.5,69.0
1995,55.4,70.9,53.2,58.3,33.7,44.5,29.3,35.3,41.9,54.8,22.7,66.3,32.7,50.0,39.7,51.3,54.9,56.4,45.5,37.5,18.1,42.5,42.3,58.8,46.8,68.4,45.1,54.1,45.2,19.5,52.2,23.1,46.1,59.8,44.8,52.0,59.2,46.9,22.6,49.4,61.7,56.5,48.8,47.7,56.1,51.5,50.3,64.8,46.6,68.5
1996,56.8,66.3,44.9,58.0,29.1,46.5,23.8,39.2,36.4,52.0,14.6,60.1,28.8,47.9,45.1,50.5,55.1,46.8,47.8,28.3,15.5,42.9,46.4,59.0,48.5,65.4,50.4,51.9,44.1,12.2,48.8,19.3,51.6,56.6,39.7,53.7,54.2,37.1,17.8,49.3,58.2,51.8,49.1,48.1,52.1,49.0,45.8,58.9,47.5,68.6
1997,55.7,65.2,46.5,56.2,30.0,44.5,22.8,32.6,36.6,49.9,17.6,58.6,29.7,41.3,43.7,43.4,55.3,54.7,45.3,32.4,15.0,38.7,39.5,56.8,45.9,62.1,43.8,52.0,38.7,13.3,43.7,20.5,47.4,54.0,36.2,55.0,49.3,37.2,14.6,52.1,51.8,50.8,49.4,46.4,46.0,46.3,42.7,52.6,41.8,63.0
1998,57.7,55.9,46.7,57.1,24.1,40.9,21.9,32.6,31.9,50.7,12.4,62.2,26.9,46.7,34.7,46.4,58.5,47.7,42.1,28.7,15.8,41.6,42.7,51.2,47.4,65.7,42.0,47.4,42.3,16.7,46.9,18.4,46.4,51.2,38.1,49.8,51.8,41.2,14.7,46.4,52.4,51.3,46.6,47.0,50.4,44.8,44.6,53.8,54.9,62.5
1999,53.7,57.1,40.9,55.5,27.1,43.0,19.8,31.9,33.0,48.8,7.5,58.3,27.9,40.5,39.7,43.3,54.0,51.3,44.1,29.8,13.6,36.8,41.1,57.0,42.6,58.1,45.5,43.3,37.4,14.4,44.6,19.7,41.7,56.0,36.5,49.8,51.5,38.9,16.6,46.8,49.4,50.3,42.1,42.8,55.1,43.1,39.6,57.3,43.4,58.0
2000,53.8,60.1,42.7,54.2,27.4,46.7,20.2,35.2,32.0,46.7,12.4,60.9,28.6,44.4,47.7,46.9,55.3,50.5,46.6,26.5,12.6,40.1,44.7,53.6,46.1,64.6,48.6,47.1,39.1,10.8,43.8,19.7,42.6,55.0,35.1,55.8,51.6,39.1,15.3,49.2,54.7,48.9,41.7,50.5,47.0,41.8,40.2,54.1,46.6,58.6
2001,52.2,61.0,35.0,53.7,22.9,37.1,18.9,30.0,26.8,42.7,10.3,57.3,21.8,38.7,39.8,41.7,52.2,45.0,40.3,24.9,12.1,38.0,40.5,54.5,44.6,62.3,40.0,36.9,31.0,12.2,39.1,18.2,38.2,50.3,32.4,48.0,41.5,36.3,13.4,44.2,51.8,44.4,37.7,45.5,43.0,36.2,34.1,54.9,43.1,60.6
2002,55.3,61.4,38.1,56.0,22.8,36.3,19.3,31.7,27.7,44.2,9.8,57.6,23.2,40.8,41.7,41.8,52.0,48.5,41.0,25.2,11.5,38.8,40.9,54.1,47.7,62.6,41.9,38.6,31.7,11.7,43.1,17.7,39.7,51.7,32.1,48.3,42.2,38.1,13.6,46.6,56.4,46.8,37.9,46.7,44.1,38.6,36.2,58.0,42.2,64.4
